id,SalePrice
2658,156832.9227306425
2718,124158.82017602783
2414,233788.14485705632
1989,119918.49007268417
625,194038.7179147424
333,69159.13532575758
1327,82237.64467568543
858,120437.31792787222
95,186378.5535534279
1568,178232.3596171514
2482,155929.77248756945
1364,153992.8864547609
2584,184678.90085817373
818,228703.571418187
2673,180421.0363872261
2089,164176.5065553543
1297,182679.13862424198
790,119871.63438758941
2616,195611.56387932698
720,268607.78614746506
222,134864.3764872441
557,119877.03992231464
1148,178169.25343347376
2766,204699.3234866552
534,197405.98143563312
1452,116280.45999081395
630,112700.61779377649
2648,117751.46933591759
125,166968.9656594541
1904,28736.51946348112
1670,79916.43625499192
756,78738.35362725997
717,221135.40804538297
1032,140312.6824013568
852,235000.04664098652
1731,218435.28866233886
2639,96911.48627080896
2071,94986.64280803117
1267,116545.18140905962
1851,193890.89985373357
567,162498.61275258995
2439,222162.36458674617
1898,117684.12958609825
647,164365.07494025302
2256,219969.14665754925
979,85235.70557722852
1444,235165.84724246463
2485,116376.00503975931
157,113690.81250106067
88,115783.86003448036
2003,122725.54333047959
186,230905.42529704294
1425,269078.676589205
2695,114198.59930424385
738,128870.0130083835
395,154440.6569093155
1353,193334.22759855256
1878,140324.81123423553
390,221838.658650527
1456,220389.87720427784
1103,273677.6694635382
1387,130550.03859967201
2070,163800.8493013269
1199,204807.79400162006
2479,155886.34852051566
501,271851.8890305947
2362,79645.94022863048
1718,182991.26593292135
2188,32377.69533061917
1483,184023.572058791
2557,90851.64495837576
437,296629.2098681505
2224,226583.29333764687
1628,234246.048667598
397,131838.061435969
587,210561.53737870947
2182,405117.466074137
971,191210.4717285692
2611,173471.05970040898
1887,128240.44736478198
2399,317574.0635992817
2148,230229.33171512242
304,156693.86952693367
1997,126687.13989711489
2817,82752.81083027812
1431,167028.54370318132
427,275708.726831645
263,114751.26797583755
598,207855.43470458465
2895,282541.794259791
687,155698.26406996432
1822,117421.32603431807
2191,84546.95424605455
179,153400.74144948198
1009,246920.63215187387
2010,114198.0833889163
1991,180829.67239108737
1411,139465.91504380788
1721,259693.17825553357
1144,158446.388760005
593,232700.4824613577
575,275664.15913349856
1249,203414.34716499248
1604,114700.23467481986
1064,323421.46581838024
1923,185024.03284514663
1988,103974.45990940723
2325,190456.2406328047
114,199535.8190406227
2700,163748.0603739359
217,98798.14778860194
343,195420.3895937266
386,252504.55955165444
2005,121100.72590514412
2908,134271.71592725549
1814,231995.91930774535
2446,396562.94456454035
208,132655.3896847804
1679,121006.32733827898
822,309655.11106201785
6,193989.08656486263
1781,350239.44080156775
2397,272473.64128613763
2340,304386.99433171935
1618,168149.38564706963
2843,78667.2962266265
1061,312290.15633550915
2786,120978.14369936034
1935,119720.82247148469
1341,130476.86793090019
521,313188.24292684894
2136,154707.7617696996
996,180202.28461826485
227,143727.67119790526
135,194770.14610628452
1167,159200.36507318617
294,232597.62580346508
1776,198007.99552433338
540,205242.3196049311
1717,182987.31829955283
2303,121939.62240715089
116,178843.72687394544
127,122281.1486437472
1371,157036.74176444914
1014,226956.93821672632
1507,125985.17778986218
702,132020.22443646754
750,156750.59429544976
261,171113.98069640677
1559,83192.9719508688
577,209870.91972952828
2812,202425.68319648755
2080,161523.28303799813
1368,143886.52000772412
2376,137038.40645493736
659,118923.1145982692
1235,129627.38674959422
332,67358.93136909218
1917,157072.04048221148
2094,222819.8755251602
1460,268871.42583735735
1471,201193.80339519642
1509,126327.47284648672
1922,120366.26052723874
433,353006.7317929047
460,301080.8513855786
1116,270778.13275435555
1137,168799.05726896538
53,198695.1480030228
2354,218802.92859013024
1475,211617.72583489382
1761,313104.57765249826
842,120027.33592309183
2739,157552.26159427722
2509,184461.97755300836
1007,221408.36661335762
2610,176570.12003622865
1952,113760.18201778305
2719,134274.60902266926
2921,70160.14631745218
1966,119693.76090345133
292,143275.63998681042
1204,229386.74197349642
1829,229551.99236963555
2419,197349.02668456268
391,192187.5078474579
798,156535.96419219262
481,217723.25086383827
193,213423.7062599667
555,120224.94757407252
899,63666.578498821065
2357,216928.03272263458
328,128414.28544606396
1356,156932.12948018318
1154,116648.16175963325
1730,182560.99555595935
2249,173130.04348833108
1119,269242.5033739988
2856,144743.95680774644
1394,130389.58758270036
2587,114192.39192141789
61,285042.90593152563
2661,190882.5172941433
2711,157127.53733192524
1147,173038.79384655535
757,151180.1976796859
2623,93420.00422627255
2378,166655.98071416662
1413,167081.18727768393
1722,263348.68675478897
1112,204101.23537111608
1623,179402.88886113826
1201,192295.55184976483
1513,74584.8714580239
957,624882.1564936475
1171,296416.72256066464
1145,195793.65913736328
2726,252144.33242772336
703,203716.18987398723
760,71807.34230987505
1964,116912.08132977819
2512,199745.2184790508
159,152428.45167224095
1281,189214.70993840316
468,185865.16468541592
290,176935.33207303612
665,123425.67638784667
1463,259906.37211764132
1792,198399.09716059067
923,130948.97955244755
500,233109.13025746238
1408,157477.79518290242
331,64565.408895313434
170,109415.87923818202
2192,100024.71109721955
2571,258087.30135597457
2314,188075.83937179067
2647,113226.96558025882
422,316447.01427256747
2457,278945.807854044
1838,208377.2288638521
2805,268514.18667771306
1645,163400.6686375056
1711,274317.18606923945
2825,221858.39681736962
322,301455.8982157959
2103,270835.3734381992
342,167443.0452068766
600,96585.75056768674
488,191320.77234051196
1725,303741.5562759653
2246,261623.57097274295
2847,178935.0943069679
806,257099.6047926191
530,218532.51570438617
963,184969.05191076043
2678,40828.5454948867
171,77998.91931563549
2401,328633.3584812083
805,217757.03573002512
2259,208587.09287868117
1748,221905.76841779196
1361,161037.7241336694
1677,158430.57656632352
1406,195917.79139816092
2322,245933.03891532766
688,169641.8553329384
143,119681.6320705726
804,231350.4595917839
1214,169389.4367799071
2828,161953.8393477333
1999,175573.3985608945
2467,195477.84846788115
2665,191665.83658502263
1538,271377.2592778333
398,76205.89087113152
2822,136931.38793989486
2157,163453.94002777332
1856,154586.80874662058
1269,131092.95435653423
2570,118744.58506087514
2320,258352.97838712623
1517,162780.03240032744
2304,118317.58565091057
1312,120155.0621420226
2012,173204.8185397787
506,258168.44260830196
2865,192062.0912756828
2367,158554.9270174321
554,161518.21938626486
238,121992.97140784477
1954,132213.08660597898
2488,171181.57017556092
2291,69024.0297554173
1969,129705.07529472405
2725,151667.8198033685
1482,184023.572058791
2763,210761.0893939236
503,230892.53412103484
1584,272744.0541718817
1531,183388.59661221196
2210,167792.10316701062
459,302892.81510173215
556,129977.03823548197
1347,116174.4457554101
1290,111447.67071192732
1388,120039.09568258002
1571,448697.6235347134
2754,213374.93270840647
765,124912.53221664319
2494,125749.374540552
2870,166419.818108571
7,226824.71612507937
1114,239119.40206104377
2418,273590.8215294306
291,88620.71492789187
18,313775.3242803946
39,308358.3135004569
1001,250064.92212990514
2442,230207.61973159554
616,152453.94904904423
2680,87718.96663595676
1414,114590.8169588659
289,133558.0517252538
40,255474.6436369521
860,118306.16777441432
409,150501.49067307252
673,119304.34715110515
2427,198314.20138296
2036,215359.44856168257
2564,139250.7690252232
642,136735.95842794544
1008,179351.28958538338
1908,139420.0631857702
2519,245122.4851525101
1369,121485.12865444281
2855,214012.18956465033
712,114817.80587755615
1943,88637.79124381403
1958,198310.0572194879
107,246425.2041641238
2295,187650.72794004067
704,120291.17235261938
676,146665.8823926724
259,171970.95902036896
93,272609.8346373518
106,252265.72773285856
2315,181664.88278130387
1050,132618.52087435365
1095,230393.18016012362
2709,158978.81514167195
758,200117.6148262128
1496,171465.83009072405
2370,156029.84361271316
2458,270730.76115393324
2733,105513.66531360109
161,233228.96120965612
726,155852.45175389122
845,197238.49295024393
947,257685.82834784526
2232,115079.72444061824
2563,175985.87029768672
2299,136009.19492649514
211,127066.53808472067
605,139676.65935472443
1478,238922.2385829284
2247,260008.98892501567
2274,207953.72657715637
2869,162249.42938749606
967,197514.82728604076
2656,37257.05331473512
667,173788.84418657536
1042,157437.46084136597
2023,184923.59817680359
2447,306530.5592508292
2055,158347.69792579184
2275,280844.5978440978
2204,209018.09147047251
1563,258216.7633757047
483,222953.84341692834
796,125386.22656065898
1526,170525.57500214933
2042,217881.67211390688
442,314980.4684761599
1693,277161.4559112627
1468,217298.8802767217
1430,184060.8103032262
2605,146992.41994389537
1529,245632.789925196
335,166640.3972128974
1287,120235.98862607738
31,120343.12493236655
1785,231545.86744352596
82,187759.9510918824
2620,89398.65160619224
252,199972.22905794843
721,91702.78683319422
2165,178804.8224058065
2316,184475.59773969464
775,118408.806241996
1558,65270.60342889084
17,239077.59823543887
1022,241482.06063210682
925,138849.8542557634
438,272633.52043756295
1270,116593.12487502827
1272,119885.22112182487
215,134633.49588540406
266,230813.29552089114
2402,272201.25458370935
1250,116616.0088271387
1984,85948.34243167406
1279,117313.05204945678
377,235425.81917924102
1252,156899.69391644848
2156,270371.5265173974
499,274719.84467282915
1374,166696.74597012153
2898,198373.66752624963
401,86153.69697726358
2721,161399.51624467934
2078,198311.45917062584
2589,126831.02608352821
1946,147092.59623048172
1334,146267.02606956288
2781,240009.59338564647
431,350099.29981698503
576,245165.9091195639
1474,209051.7641453517
2254,208650.7934256731
2155,310507.79986961954
885,93418.26039214266
643,168757.01359284215
1944,121057.09636673087
480,216898.42547237064
2845,86913.33046793174
2387,278691.16384156665
2407,226366.57246401938
2527,197387.99889516382
2514,188218.1507031612
629,204038.645102766
80,196112.84557466756
1876,158053.3810495257
1546,150631.19070868756
2518,183567.3561321604
2347,194948.36147341452
783,171235.66654560735
1322,17431.381356309023
194,71190.1367436456
1770,236225.78680191396
2143,118306.16777441432
1229,235894.12964873895
511,270628.1226863516
46,225535.59563994457
1348,212107.7423971095
2465,195477.84846788115
387,254419.16173538973
873,230231.3055318067
1918,129574.37963189228
2764,257520.02774636715
2184,114740.88297708868
934,161184.5049151703
1920,119239.49713329764
2631,190268.7280477997
1768,367492.2865059391
2040,73909.82615200589
1749,223311.12589698733
834,232986.77528324546
1457,233488.10306084092
79,152815.31974235654
2302,118518.7681107684
1817,117113.6406141274
2755,214499.4981939181
359,179730.54243072594
2059,134130.23447194486
2092,239555.61554826595
2516,251872.9382126902
150,123721.74889048617
1656,135216.063630844
83,123438.0911534986
2411,182560.99555595935
795,103893.64741851932
2312,238631.86934003077
2917,101328.14360135666
1624,194984.39429681536
2215,260725.2201088374
1211,179521.0319294209
1485,184047.25785900216
1024,197966.8430989805
570,183611.04437177998
2874,150483.67037269537
700,118114.99348881397
2756,197185.1998997688
2022,150980.78624435654
583,232459.45863556664
2392,311842.0999481814
2424,219023.97439856036
212,120822.41497345935
736,133545.6369596019
1610,157353.19204193982
890,83398.47886858655
467,187203.41239734634
578,269581.9998436921
1747,211453.92071030737
1149,157344.99905018616
2758,188758.77994454573
857,124750.02977256112
2219,255584.82959746977
733,178838.09135666583
2909,128949.18976749928
1798,255465.2845780492
235,87042.28982062478
2366,140884.83759703138
1027,122332.46787753805
1195,118145.71675744267
1303,5506.411035582481
148,191974.33564555747
608,158339.58446874385
2515,213323.84345717
821,270817.60908804083
2500,282330.881807348
745,112066.87728523962
741,112066.87728523962
1611,219785.17487684567
2532,123339.40031928543
1081,220737.24728050077
1692,315231.14319506136
2520,244885.62715039853
276,132468.04957930197
1992,116949.5278965604
663,-2071.726221467572
418,182600.382486975
1733,181558.29668035364
2359,170330.66140552747
253,206900.30395950482
1518,138282.79700183353
2035,179126.26859256823
2919,62513.15545900728
1540,220515.057740978
2120,132156.43944788908
1674,170473.34218153163
256,167000.5467264023
2361,84882.84496537126
978,70330.18048507198
